Expressao,GrupoMultiplo,IndicaNaoOSC,SubGrupo,Motivo,Check
^ASSOC P E M DA ESC EST,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC P MEST PRE ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC P P EMMG,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC P P F DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC P PROF\\.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS ALUN MESTR DO C ENS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS ALUNOS COLEGIO,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS ALUNOS MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS DA ESC EST,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS E COM DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS E MESTRE DAS ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS E MESTRES DA E\\.E\\.P\\.S\\.G\\.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS E MESTRES DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS E MESTRES EEPG,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS E MESTRES ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS E MESTRES JARDIM DE INF,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS E MESTRES POLO EDUC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS E PORF ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS E PROF DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS E PROF ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS E PROFESSORES DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS E PROFESSORES E,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS M E COM DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS MEST ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS MEST PRE ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS MESTTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS PROF,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PROF F E PAIS ,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PROF F P DE ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PROF F PAIS A ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PROF F PAIS ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC/DE PAIS E PROF,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. COMUN\\. PAIS MESTRES ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. CPM DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE APOIO A ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE APOIO AO COLEGIO,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE APOIO AS ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE APOIO DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE APOIO DAS ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE APOIO DE PAIS E MESTRES DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE APOIO ESCOLAR,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE P M E C DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE P\\. E M\\.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS ALUNOS E PROF\\.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS COMU\\. ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS DA ESCOLA DE I\\.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS E COM\\. DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS E COM\\. ESC\\.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS E COMUN\\. DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS E COMUNIT\\. DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS E COMUNITARIO DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS E COMUNITARIOS DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS E MEST\\.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS E MESTR\\.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS E MESTRE,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS E PROF DA ESC: ASSOC\\. DE PAIS E PROF\\.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS E PROFES\\. ,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS E PROFESSORES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS FUNCIONARIOS E MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS MEST\\. E COM,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS MEST\\.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS MESTRE,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS PROF,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS FUNC\\. ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS PROF,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAISMESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PROF\\. ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PROF\\. F\\. E PAIS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PROF\\.ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PROFESS\\. ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DOS PAIS E MESTRES DA,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. DOS PAIS E PROF\\. DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. ESC\\. COMUN\\. AEC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. ESCOLA COMUN,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. ESCOLA/COMUN,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. ESCOLA-COMUNIDADE,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. ESCOLAR COMUNIT,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. PAIS ALUN\\.MEST,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. PAIS E PROF\\. ,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. PAIS MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. PAIS MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. PAIS PROF\\.FUNC\\. E ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE ALUNOS E PROF\\.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE APOIO A E\\.P\\. DO CIEP,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE APOIO A ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE APOIO AS ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE APOIO DAS ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE APOIO DO COLEGIO,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE P\\. M\\. E COMUN,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE PAES MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE PAIS ALUNOS E M,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE PAIS DE ALUNOS DO COL,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE PAIS E COLAB\\.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE PAIS E COM,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE PAIS E M\\. DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE PAIS E MEST,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE PAIS E PROF,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE PAIS MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE PAIS PROFS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE PAIS MESTRE,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE PAIS PROFESSORES ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE PAISMEST,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE PAISPROF\\.ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DE PAISE MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DEPAIS E MESTRE,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DO CONSELHO COMUNIT\\. ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DO CONSELHO ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.DOS PAIS E MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.PAIS DE ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.PAIS PROF\\.AL,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.PAIS MESTRES E FUNC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCACAO DE PAIS E MESTRES COMUNITARIOS DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCACAO DE PAIS E MESTRES DAS ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCACAO DE PAIS E MESTRES DE E E,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCACAO ESCOLA COMUNIDADE,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCAIACAO DE PAIS E MESTRES DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCAIACAO DE PAIS E MESTRES DAS ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCAICAO DE PAIS E MESTRE,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCAICAO DE PAIS MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCAIO DE PAIS E MESTRES DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCAO DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCAO DE PAIS E MESTRES DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCCIACAO DE APOIO COL EST,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCCIACAO DE PAIS E MESTRES DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCCIACAO PAIS E MESTRES PRE ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCDEPAISEMESTREDAEEPG,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCI ACAO DE PAIS E MESTRES DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCI ACAO DE PAIS E PROFESSORES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCI. DE PAIS E PROFESSORES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIA DE PAIS E MEST DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIAAO DE PAIS E MESTRE DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIAAO DE PAIS E MESTRES DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIAAO DE PAIS E PROFESSORES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIAAO DE PAIS MESTRES E COMUN,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIAC DE PAIS E MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO A ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO A ESCOLA,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E PROFESSORES DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS MESTRES E FUNC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS MESTRES E FUNC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS PROFESSORES E SERV,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO ESCOLA COMUNIDADE,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO APOIO DE ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO APOIO DO COL,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO APOIO E CIEP,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO C.P.M.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO COMUNIDADE CENTRO DE EDUCACAO INFANTIL,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO COMUNIDADE CRECHE,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO COMUNIDADE DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO COMUNIDADE E ESCOLA,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO COMUNIDADE EDUCACIONAL,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO COMUNIDADE-CRECHE,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO COMUNIDADE-ESCOLA,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO COMUNITARIA DE PAIS DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO COMUNITARIA DE PAIS DE ALUNOS DA UNIDADE ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO COMUNITARIA DE PAIS E MESTE,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO COMUNITARIA DE PAIS E MESTRE,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO COMUNITARIA DE PAIS E PROFESSORES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO COMUNITARIA DE PAIS ALUNOS E MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO COMUNITARIA DO COLEGIO EST,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO CPM DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO CPM ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E MESTRES DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E PROF,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE A A E DO C E A PROF,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE A A E EST,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE A A ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE A DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE A E CIEP,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE A E DO CIEP,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE A E DO COL,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE A E E MARIETA,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE A E EST,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE A ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE A JARDIM DE INF,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE ALUNOS  FUNCIONARIOS E PAIS DE ALUNOS DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE ALUNOS PAIS E MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE ALUNOS EX-ALUNOS PAIS E MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE ALUNOS EX-ALUNOS PAIS E MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE ALUNOS EX-ALUNOSPAIS E MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE ALUNOS FUNCIONARIOS E PAIS DE ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE ALUNOS FUNCIONARIOS E PAIS DEALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE ALUNOS FUNCIONARIOS E PROFESSORES DA UNID,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE ALUNOS FUNCIONARIOS E PAIS DE ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE ALUNOS PROFESSORES PAIS E AMIGOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE ALUNOSEX ALUNOSPAIS E MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE ALUNOSEX-ALUNOS PAIS E MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOI COL,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO A CRECHE,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO A ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO A PAIS E FUNCIONARIOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO A PAIS E MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO A PAIS ALUNOS E MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO A UNIDADE DE EDUC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO A UNIDADE ESCOLAR,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO AO CENTRO DE EDUCACAO INFANTIL,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO AO CENTRO MUNICIPAL DE EDUC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO AO CIEP,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO AO COL,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO AS ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO CIEP,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO COL,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO DAS ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO DE PAIS E MESTRE,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO DO CENTRO EDUCACIONAL,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO DO CENTRO MUN,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO DO CENTRRO DE EDUC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO DO CIEP,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO DO COL,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO E EST,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO EE,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIOA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE ASSISTENCIA A ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE ASSITENCIA AO EDUCANDO,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE CIRCULO DE PAIS E MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE FUNCIONARIOS PROFESSORES E ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE FUNCIONARIOS PROFESSORES E ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE FUNCIONARIOS PROFESSORES PAIS E ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE FUNCIONARIOSPROFESSORES E ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE MAES PAIS PROFESSORES E ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE MESTRES PAIS E ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE MESTRES PAIS ALUNOS E AMIGOS DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE MESTRESPAIS E ALUNOS,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P E M DA EMEI,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P E M DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P E M DA U,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P E M DO CENTRO,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P E MES DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P E MESTRE DA EEPG,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P E MESTRES DA E E 1 GRAU,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P E MESTRES DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P E P DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P E PROF DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P M DA E E,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P M DA UNIDADE ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P M E C DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P. MESTRES DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P\\. E M\\.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P\\. E PROF\\. DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P\\.M\\.E FUNC\\.DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P\\.E MESTRES DA EMEI,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P\\.E P\\. DA E\\.M\\.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P\\.E P\\.DA E\\.M\\.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P\\.M DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P\\.M\\. DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P\\.M\\.DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE P\\.M\\.E FUN\\.DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAES E MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAES E METRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS  AMIGOS E MESTRES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS ALUN0,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS ALUNOS E MES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS ALUNOSE MES,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS AMIGOS DA ESCOLA,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E AMIGOS DO CMEI,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E AMIGOS DO COLEGIO,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E COMUNITARIOS DA E\\. E\\. F\\.,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E COMUNITARIOS DA EEFM,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E COMUNITARIOS DA EEIEF,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E COMUNITARIOS DO CENTRO DE EDUCACAO INF,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E MEST E FUNC ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E MESTRE DA CRECHE,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E MESTRE E AMIGOS DA ESC,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E MESTRE E FUNCIONARIOS DO CENTRO MUNICIPAL DE EDUCACAO INF,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E METRES DA E M,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E METRES MONTEIRO,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E PROF ,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E PROF$,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E PROF\\. ,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E PROFS\\. ,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E SERVIDORES DO CENTRO,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E SERVIDORES DO INSTITUTO FED,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS FUNCIONARIOS DO CENTRO MUNICIPAL DE EDUCACAO INF,10,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS FUNCIONARIOS E PROFESSORES DA CRECHE,10,1,1,CAIXAS ESCOLARES e similares,
